Filter,1,2,3,4,5,6,7,8,9,10,20,40
F435W,0.330,0.665,0.793,0.838,0.862,0.876,0.887,0.895,0.901,0.907,0.941,0.979
F475W,0.328,0.670,0.794,0.841,0.867,0.881,0.891,0.900,0.906,0.911,0.943,0.978
F502N,0.327,0.671,0.795,0.841,0.867,0.883,0.893,0.901,0.908,0.913,0.944,0.977
F555W,0.328,0.670,0.796,0.840,0.867,0.883,0.894,0.902,0.909,0.914,0.945,0.976
F550M,0.329,0.669,0.796,0.840,0.866,0.883,0.894,0.902,0.909,0.914,0.945,0.975
F606W,0.331,0.665,0.796,0.839,0.865,0.883,0.895,0.903,0.910,0.915,0.946,0.974
F625W,0.332,0.660,0.797,0.839,0.864,0.883,0.895,0.903,0.910,0.915,0.947,0.973
F658N,0.333,0.656,0.797,0.839,0.863,0.883,0.896,0.904,0.910,0.916,0.948,0.973
F660N,0.333,0.655,0.797,0.839,0.863,0.883,0.896,0.904,0.910,0.916,0.948,0.972
F775W,0.327,0.626,0.783,0.836,0.859,0.877,0.894,0.903,0.910,0.916,0.949,0.972
F814W,0.319,0.610,0.770,0.830,0.854,0.872,0.889,0.900,0.907,0.914,0.949,0.972
F892N,0.279,0.547,0.706,0.788,0.818,0.840,0.859,0.877,0.888,0.897,0.942,0.970
F850LP,0.271,0.534,0.693,0.777,0.810,0.832,0.852,0.871,0.884,0.892,0.940,0.970
