Filter,SCA,PHOTMJSR,zp_vega,vega_Jy,zp_vega-sirius,vega-sirius_Jy,zp_AB,mean_pix_sr
F700W,NRCA1,4.4,26.12,2763.19,26.18,2924.34,28.02,2.2433e-14
F700W,NRCA2,4.494,26.1,2764.21,26.16,2925.47,28.03,2.2266e-14
F700W,NRCA3,4.365,26.12,2765.48,26.18,2926.89,28.01,2.2647e-14
F700W,NRCA4,3.997,26.22,2767.26,26.28,2928.87,28.02,2.2458e-14
F700W,NRCB1,4.608,26.08,2772.1,26.14,2934.11,28.03,2.2219e-14
F700W,NRCB2,4.555,26.06,2767.49,26.12,2928.98,28.0,2.2875e-14
F700W,NRCB3,4.573,26.08,2763.52,26.14,2924.55,28.02,2.2402e-14
F700W,NRCB4,3.92,26.21,2763.98,26.27,2925.07,27.99,2.3067e-14
F900W,NRCA1,3.179,26.24,2243.18,26.28,2314.51,28.02,2.2433e-14
F900W,NRCA2,3.405,26.18,2243.12,26.21,2314.43,28.03,2.2266e-14
F900W,NRCA3,3.132,26.25,2243.74,26.28,2315.31,28.01,2.2647e-14
F900W,NRCA4,3.008,26.3,2244.22,26.34,2315.99,28.02,2.2458e-14
F900W,NRCB1,3.637,26.11,2248.22,26.15,2320.83,28.03,2.2219e-14
F900W,NRCB2,3.534,26.11,2246.87,26.14,2318.91,28.0,2.2875e-14
F900W,NRCB3,3.501,26.14,2245.98,26.18,2317.64,28.02,2.2402e-14
F900W,NRCB4,3.138,26.23,2246.13,26.26,2317.84,27.99,2.3067e-14
F1150W,NRCA1,3.106,26.0,1746.62,26.03,1791.24,28.02,2.2433e-14
F1150W,NRCA2,3.19,25.98,1745.72,26.0,1790.3,28.03,2.2266e-14
F1150W,NRCA3,3.113,25.99,1747.93,26.01,1792.59,28.01,2.2647e-14
F1150W,NRCA4,2.846,26.09,1749.15,26.12,1793.86,28.02,2.2458e-14
F1150W,NRCB1,3.36,25.92,1749.22,25.95,1794.02,28.03,2.2219e-14
F1150W,NRCB2,3.194,25.95,1745.43,25.97,1790.1,28.0,2.2875e-14
F1150W,NRCB3,3.239,25.95,1743.77,25.98,1788.38,28.02,2.2402e-14
F1150W,NRCB4,2.769,26.09,1744.32,26.12,1788.94,27.99,2.3067e-14
F1500W,NRCA1,2.333,25.88,1172.3,25.9,1193.9,28.02,2.2433e-14
F1500W,NRCA2,2.412,25.85,1172.2,25.87,1193.8,28.03,2.2266e-14
F1500W,NRCA3,2.296,25.88,1172.47,25.9,1194.08,28.01,2.2647e-14
F1500W,NRCA4,2.137,25.97,1172.71,25.99,1194.34,28.02,2.2458e-14
F1500W,NRCB1,2.447,25.83,1172.07,25.85,1193.66,28.03,2.2219e-14
F1500W,NRCB2,2.338,25.85,1170.62,25.87,1192.14,28.0,2.2875e-14
F1500W,NRCB3,2.37,25.86,1170.84,25.88,1192.38,28.02,2.2402e-14
F1500W,NRCB4,2.056,25.98,1171.34,26.0,1192.9,27.99,2.3067e-14
F2000W,NRCA1,1.964,25.59,758.29,25.6,766.35,28.02,2.2433e-14
F2000W,NRCA2,2.1,25.53,761.65,25.54,769.77,28.03,2.2266e-14
F2000W,NRCA3,1.896,25.62,757.41,25.63,765.47,28.01,2.2647e-14
F2000W,NRCA4,1.829,25.66,756.76,25.67,764.81,28.02,2.2458e-14
F2000W,NRCB1,2.056,25.55,756.31,25.56,764.35,28.03,2.2219e-14
F2000W,NRCB2,1.969,25.56,756.93,25.57,764.98,28.0,2.2875e-14
F2000W,NRCB3,1.958,25.6,759.15,25.61,767.23,28.02,2.2402e-14
F2000W,NRCB4,1.797,25.66,759.89,25.67,767.98,27.99,2.3067e-14
F1400M,NRCA1,5.254,25.1,1287.61,25.12,1314.23,28.02,2.2433e-14
F1400M,NRCA2,5.439,25.07,1287.51,25.09,1314.13,28.03,2.2266e-14
F1400M,NRCA3,5.215,25.09,1287.7,25.12,1314.33,28.01,2.2647e-14
F1400M,NRCA4,4.8,25.19,1287.81,25.22,1314.44,28.02,2.2458e-14
F1400M,NRCB1,5.51,25.06,1289.87,25.08,1316.57,28.03,2.2219e-14
F1400M,NRCB2,5.272,25.07,1289.41,25.09,1316.1,28.0,2.2875e-14
F1400M,NRCB3,5.355,25.08,1289.37,25.1,1316.06,28.02,2.2402e-14
F1400M,NRCB4,4.611,25.21,1289.49,25.23,1316.18,27.99,2.3067e-14
F1620M+F1500W2,NRCA1,4.847,24.93,1022.61,24.95,1036.9,28.02,2.2433e-14
F1620M+F1500W2,NRCA2,5.061,24.89,1022.7,24.91,1036.99,28.03,2.2266e-14
F1620M+F1500W2,NRCA3,4.688,24.96,1022.59,24.97,1036.87,28.01,2.2647e-14
F1620M+F1500W2,NRCA4,4.439,25.03,1022.58,25.04,1036.87,28.02,2.2458e-14
F1620M+F1500W2,NRCB1,5.099,24.89,1023.5,24.9,1037.84,28.03,2.2219e-14
F1620M+F1500W2,NRCB2,4.837,24.92,1023.34,24.93,1037.67,28.0,2.2875e-14
F1620M+F1500W2,NRCB3,4.925,24.92,1023.47,24.93,1037.82,28.02,2.2402e-14
F1620M+F1500W2,NRCB4,4.295,25.04,1023.57,25.05,1037.92,27.99,2.3067e-14
F1820M,NRCA1,3.623,25.04,844.69,25.05,853.54,28.02,2.2433e-14
F1820M,NRCA2,3.847,24.99,845.37,25.0,854.24,28.03,2.2266e-14
F1820M,NRCA3,3.517,25.06,844.49,25.07,853.33,28.01,2.2647e-14
F1820M,NRCA4,3.381,25.12,844.34,25.13,853.18,28.02,2.2458e-14
F1820M,NRCB1,3.82,24.99,844.72,25.01,853.57,28.03,2.2219e-14
