Filter,Vega mag
F200LP,26.8857 
F218W,21.2726 
F225W,22.4257 
F275W,22.6759 
F280N,19.5016 
F300X ,23.5611
F336W,23.5260 
F343N,22.7517
F350LP,26.8116
F373N,21.0354
F390M,23.5457
F390W,25.1735 
F395N,22.7115 
F410M,23.7699 
F438W,25.0015
F467M,23.8567
F469N,21.9825 
F475W,25.8094 
F475X,26.2131 
F487N,22.0479
F502N,22.4190
F547M,24.7583
F555W,25.8379
F600LP,25.5487
F606W,26.0039
F621M,24.4620
F625W,25.3736 
F631N,21.7232 
F645N,22.0478
F656N,19.8404 
F657N,22.3324
F658N, 20.6717
F665N,22.4901
F673N,22.3424 
F680N,23.5546 
F689M,24.1950 
F763M,23.8366 
F775W,24.4800 
F814W,24.6985
F845M,23.3150 
F850LP,23.3253 
F953N,19.8019
