Filter,Vega mag
F200LP,26.9000
F218W,21.5463
F225W,22.6377
F275W,22.7373
F280N,19.5123
F300X,23.6394
F336W,23.5538
F343N,22.7885
F350LP,26.7802
F373N,21.0628
F390M,23.5611
F390W,25.1779
F395N,22.7139
F410M,23.7683
F438W,24.9990
F467M,23.8616
F469N,21.9864
F475W,25.8017
F475X,26.2092
F487N,22.0624
F502N,22.4143
F547M,24.7625
F555W,25.8245
F600LP,25.5254
F606W,25.9954
F621M,24.4560
F625W,25.3736
F631N,21.7283
F645N,22.0425
F656N,19.8751
F657N,22.3319
F658N,20.6820
F665N,22.4775
F673N,22.3171
F680N,23.5339
F689M,24.1855
F763M,23.8160
F775W,24.4700
F814W,24.6841
F845M,23.3060
F850LP,23.2799
F953N,19.7601
